Argentina, Cordoba, Rio Cuarto, 1368154800000, -999.0, -999.0, -999.0, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1368154800000, -999.0, -999.0, -999.0, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.32, 49.3, 966.659, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.36, 48.76, 966.467, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.37, 49.34, 966.126, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.51, 48.23, 966.574, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.48, 47.64, 966.422, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.43, 47.41, 966.417, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.36, 47.47, 966.517, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.32, 47.49, 966.6, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.28, 47.62, 966.695, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.24, 47.71, 966.798, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.24, 47.84, 967.053, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.23, 47.94, 967.295, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.2, 48.03, 967.513, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.22, 47.9, 967.492, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.21, 47.97, 967.886, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.2, 47.93, 967.965, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.19, 47.9, 967.938, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.2, 47.93, 968.054, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.18, 47.96, 968.038, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.17, 47.9, 968.18, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.17, 47.9, 968.093, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.17, 47.93, 968.13, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.16, 48.03, 968.13, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.16, 47.99, 968.181, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.14, 48.09, 968.124, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.15, 48.06, 968.214, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.15, 48.09, 968.19, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.14, 48.12, 968.234, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.14, 48.12, 968.139, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.15, 48.12, 968.212, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.11, 48.21, 968.163, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.11, 48.15, 968.195, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.1, 48.18, 968.156, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.08, 48.21, 968.332, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.12, 48.12, 968.316, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.18, 48.03, 968.401, -999.0, NORTE, AYTY
Argentina, Cordoba, Rio Cuarto, 1370833200000, 23.21, 47.97, 968.477, -999.0, NORTE, AYTY
