Argentina, Cordoba, Cordoba, 1433991600000, 8.21, 27.86, 1001.88, 9.21347, SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 18.0, 33.78, 1000.62, 8.79102, SUDESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 18.07, 33.37, 1001.88, 9.03242, SUDESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 18.22, 31.84, 1000.62, 5.65281, SUDOESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 18.39, 31.78, 1000.0, 7.8053, SUDESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 18.78, 30.68, 1001.88, 8.44903, SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 18.96, 31.1, 1001.88, 4.8079, SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 19.1, 29.84, 1000.0, 7.0811, SUDOESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 19.09, 30.34, 1000.62, 6.49771, SUDOESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 19.41, 32.1, 1000.62, 4.42568, SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 19.51, 30.9, 1001.88, 6.92016, SUDOESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 19.72, 30.86, 1000.0, 7.6846, SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 19.63, 32.98, 1000.62, 5.91432, SUDESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 19.75, 32.8, 1000.0, 5.89421, SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 19.84, 33.95, 1000.62, 7.54378, SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 19.86, 34.73, 1000.62, 7.0811, ESTE SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 19.87, 34.28, 1001.25, 5.83386, SUDESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 19.93, 34.09, 1000.62, 6.87993, SUDESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 19.73, 34.5, 1000.62, 6.63853, ESTE SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 19.8, 35.5, 1000.0, 5.47176, SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 19.95, 34.61, 1000.0, 6.13561, ESTE SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 20.15, 33.42, 1000.62, 5.51199, SUDESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 20.15, 33.64, 1000.0, 7.30238, SUDESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 20.25, 34.15, 1000.62, 5.81374, SUDESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 20.05, 35.46, 1000.0, 7.30238, SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 19.86, 36.28, 1000.0, 5.41141, ESTE SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 19.97, 34.79, 1000.62, 3.963, ESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 19.6, 38.18, 1000.0, 5.95456, ESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 19.35, 37.63, 1000.0, 5.85397, ESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 19.15, 37.73, 1001.88, 5.49187, ESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 18.94, 38.59, 1000.62, 5.19012, ESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 18.56, 40.47, 1000.0, 6.01491, ESTE SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 18.21, 41.27, 1000.0, 5.0493, ESTE SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 17.6, 42.78, 1000.62, 3.2388, ESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 17.16, 41.32, 1003.12, 3.3595, ESTE SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 16.77, 42.67, 1002.5, 3.25891, ESTE SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 16.34, 43.07, 1000.62, 3.3595, ESTE SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 15.83, 45.12, 1001.25, 3.25891, ESTE SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 14.96, 50.23, 1001.25, 3.90265, SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 14.28, 52.39, 1001.88, 2.67553, SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 13.91, 51.7, 1002.5, 5.0493, SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 13.81, 51.45, 1001.25, 4.52627, SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 13.21, 53.86, 1002.5, 4.42568, SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 12.43, 57.6, 1002.5, 4.4458, SUDESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 11.87, 59.79, 1001.88, 4.12393, SUDESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 11.32, 62.39, 1001.88, 4.72744, SUDESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 10.71, 63.32, 1002.5, 3.62101, SUDESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 10.14, 65.94, 1003.12, 3.58078, SUDESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 10.01, 66.84, 1001.88, 3.13821, SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 9.57, 68.72, 1001.25, 1.66969, ESTE SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 8.93, 69.0, 1002.5, 2.07203, SUDESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 8.15, 72.06, 1002.5, 2.85658, SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 7.58, 73.43, 1002.5, 3.09798, SUDOESTE SUR, Asociaci󮠃ivil de Producrores
