Argentina, Cordoba, El Aranado, 1346209200000, 15.96, 57.06, 985.181, 21.0535, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1346209200000, 15.64, 57.64, 984.79, 21.0236, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1346209200000, 14.81, 60.96, 985.181, 21.2343, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1346209200000, 6.36, 86.09, 985.963, 9.1425, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1346209200000, 14.29, 64.86, 985.181, 21.1738, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1346209200000, 13.92, 66.03, 985.376, 21.204, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1346209200000, 13.45, 66.81, 985.376, 20.2314, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1346209200000, 13.09, 69.44, 985.376, 17.5818, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1346209200000, 12.64, 70.14, 985.572, 19.1774, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1346209200000, 12.52, 71.49, 985.572, 17.6976, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1346209200000, 12.27, 72.13, 985.572, 15.78, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1346209200000, 11.99, 73.84, 985.376, 15.1447, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1346209200000, 11.36, 75.66, 985.572, 15.9668, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1346209200000, 10.78, 77.67, 985.572, 14.9828, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1346209200000, 9.99, 79.42, 985.376, 13.0056, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1346209200000, 9.4, 80.49, 985.572, 12.5734, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1346209200000, 8.77, 81.56, 985.767, 11.648, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1346209200000, 7.82, 83.43, 985.767, 11.5348, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1346209200000, 7.19, 84.51, 985.767, 9.785, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1346209200000, 6.96, 84.39, 985.767, 10.1816, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1346209200000, 6.69, 84.95, 985.963, 9.8647, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 23.13, 55.06, 985.38, 2.4738, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 23.47, 55.2, 985.57, 5.0939, NOROESTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 23.44, 52.28, 985.38, 5.2003, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 23.92, 54.02, 985.38, 5.0407, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 24.27, 51.47, 985.18, 18.4604, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 24.64, 52.51, 984.99, 16.7713, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 24.78, 50.04, 984.79, 22.7164, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 24.68, 48.77, 984.79, 23.1952, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 19.91, 48.39, 984.59, 23.1952, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 21.56, 48.18, 984.4, 21.6923, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 24.98, 48.25, 984.2, 21.812, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 25.03, 48.23, 984.4, 20.615, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 24.86, 48.17, 984.01, 22.5701, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 25.3, 46.2, 984.01, 20.7746, NOROESTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 25.39, 43.96, 983.62, 24.4853, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 25.56, 43.85, 983.62, 21.4396, NOROESTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 25.55, 42.31, 983.62, 23.0356, NOROESTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 25.68, 40.91, 983.03, 22.0115, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 25.95, 41.55, 983.03, 22.9558, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 25.78, 41.76, 982.83, 23.2351, NOROESTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 25.73, 41.29, 982.64, 23.8868, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 24.93, 40.93, 982.64, 23.0356, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 24.71, 38.77, 982.44, 24.1528, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 24.78, 39.36, 982.25, 22.3307, NOROESTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 24.65, 40.29, 982.05, 23.9932, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 24.5, 40.75, 982.05, 23.3016, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 24.63, 39.04, 981.86, 23.5809, NOROESTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 24.79, 39.7, 981.86, 24.9375, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 24.2, 39.13, 981.08, 22.6898, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 25.08, 41.72, 981.08, 21.28, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 25.16, 42.17, 981.08, 22.5701, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 25.2, 43.01, 981.27, 18.5003, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 24.75, 41.52, 981.08, 21.5194, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 24.12, 42.95, 981.08, 21.1071, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 23.81, 43.52, 981.08, 19.5776, NORTE, Ipem 225
Argentina, Cordoba, El Aranado, 1320116400000, 23.71, 44.93, 981.08, 18.5003, NORTE, Ipem 225
