Argentina, Chaco, Chaco, 1359342000000, 30.12, 37.56, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 30.94, 37.15, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.52, 34.25, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 30.9, 34.55, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.04, 34.77, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.36, 34.84, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 32.05, 33.23, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 32.11, 33.38, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.73, 34.66, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.22, 37.14, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.1, 37.38, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.08, 37.55, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.09, 37.48, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.06, 37.65, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.09, 37.62, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.17, 37.63, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.25, 37.57, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.26, 37.53, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.38, 37.47, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.41, 37.37, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.49, 37.31, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.54, 37.31, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.57, 37.35, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.6, 37.36, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.55, 37.35, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.57, 37.04, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.58, 36.97, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.57, 36.69, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.59, 36.65, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.62, 36.34, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.61, 36.52, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.62, 36.66, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.63, 36.69, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.63, 36.62, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.66, 36.63, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.64, 36.76, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.68, 36.77, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.67, 36.94, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.7, 37.05, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.71, 37.23, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.7, 37.33, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.69, 37.47, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.69, 37.61, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.71, 37.65, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.69, 37.75, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.69, 37.75, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.7, 37.78, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.7, 37.85, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.68, 37.92, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.65, 37.99, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.66, 38.02, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.64, 38.13, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.64, 38.3, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.62, 38.4, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.6, 38.54, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.6, 38.64, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.61, 38.75, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.58, 38.92, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359342000000, 31.57, 39.06, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.57, 39.16, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.54, 39.23, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.5, 39.33, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.47, 39.43, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.47, 39.5, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.46, 39.6, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.43, 39.67, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.42, 39.8, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.36, 39.94, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.36, 39.97, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.34, 40.04, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.31, 40.1, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.31, 40.1, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.29, 40.13, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.29, 40.17, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.25, 40.23, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.24, 40.27, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.2, 40.26, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.16, 40.22, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.13, 40.12, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.1, 40.08, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.08, 40.22, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.03, 40.28, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.05, 40.25, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.01, 40.31, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.99, 40.41, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.96, 40.55, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.95, 40.65, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.92, 40.72, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.88, 40.85, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.87, 40.92, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.84, 40.98, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.81, 41.08, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.8, 41.18, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.77, 41.28, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.73, 41.45, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.71, 41.52, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.69, 41.55, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.66, 41.61, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.61, 41.68, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.59, 41.64, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.55, 41.67, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.48, 41.73, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.48, 41.7, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 27.31, 49.0, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 27.9, 47.57, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 27.82, 47.13, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 27.82, 46.93, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 27.44, 52.21, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 27.35, 53.19, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 27.31, 55.53, -999.0, -999.0, NORTE, Prov. Chaco
